date,deaths,name,negative,pending,positive,Travel-related,Local,Unknown
2020-02-10,0,Vietnam,789,,14,,,
2020-02-13,0,Vietnam,871,,16,,,
2020-02-23,0,Vietnam,1235,,16,,,
2020-03-02,0,Vietnam,1737,,16,,,
2020-03-04,0,Vietnam,1769,,16,,,
2020-03-05,0,Vietnam,1908,,16,,,
2020-03-06,0,Vietnam,1992,,17,,,
2020-03-07,0,Vietnam,1992,,18,,,
2020-03-08,0,Vietnam,1992,,29,,,
2020-03-10,0,Vietnam,2555,,34,,,
2020-03-11,0,Vietnam,4433,,38,,,
2020-03-12,0,Vietnam,4544,,44,,,
2020-03-14,0,Vietnam,4744,,48,,,
2020-03-15,0,Vietnam,5182,,53,,,
2020-03-16,0,Vietnam,7642,,57,,,
2020-03-18,0,Vietnam,14874,,76,,,
2020-03-15,161,France,36747,,6153,,,
2020-03-03,0,Poland,559,,0,,,
2020-03-04,0,Poland,584,,1,,,
2020-03-05,0,Poland,676,,1,,,
2020-03-06,0,Poland,855,,5,,,
2020-03-07,0,Poland,855,,6,,,
2020-03-08,0,Poland,1146,,11,,,
2020-03-09,0,Poland,1368,,17,,,
2020-03-10,0,Poland,1630,,22,,,
2020-03-11,0,Poland,1999,,31,,,
2020-03-12,1,Poland,2187,,51,,,
2020-03-13,2,Poland,2831,,68,,,
2020-03-14,3,Poland,4321,,104,,,
2020-03-15,3,Poland,5382,,125,,,
2020-03-16,4,Poland,6522,,177,,,
2020-03-17,5,Poland,7694,,205,,,
2020-03-18,5,Poland,9269,,287,,,
2020-03-19,5,Poland,10891,,355,,,
2020-03-20,5,Poland,12705,,425,,,
2020-03-21,5,Poland,14632,,536,,,
2020-03-22,7,Poland,17044,,627,,,
2020-03-23,8,Poland,19478,,749,,,
2020-03-24,10,Poland,22124,,901,,,
2020-03-25,13,Poland,25287,,1051,,,
2020-03-26,16,Poland,28479,,1221,,,
2020-02-25,0,Austria,216,,2,,,
2020-02-26,0,Austria,319,,2,,,
2020-02-28,0,Austria,757,,6,,,
2020-03-03,0,Austria,2102,,18,,,
2020-03-04,0,Austria,3111,,27,,,
2020-03-05,0,Austria,3674,,37,,,
2020-03-06,0,Austria,3953,,47,,,
2020-03-07,0,Austria,4229,,79,,,
2020-03-09,0,Austria,4622,,112,,,
2020-03-10,0,Austria,4869,,157,,,
2020-03-11,0,Austria,5156,,206,,,
2020-03-12,1,Austria,5567,,302,,,
2020-03-13,1,Austria,6160,,422,,,
2020-03-14,1,Austria,6812,,655,,,
2020-03-15,1,Austria,7307,,860,,,
2020-03-16,3,Austria,7474,,1016,,,
